,state1,state2,distance
0,SP,MG,488.24728319993653
1,SP,CE,2360.2752968923423
2,SP,PR,338.8490718108777
3,MG,BA,963.6612746129315
4,DF,SP,868.5654075381756
5,DF,MG,619.4570208709097
6,DF,CE,1682.4511143280454
7,DF,AM,1933.652636323799
8,DF,GO,176.6119995334029
9,DF,MA,1518.6859187312973
10,DF,AC,2255.0770059638526
11,DF,TO,619.6115149542726
12,BA,CE,1022.3106036541518
13,BA,PB,1683.92482831953
14,BA,SE,276.5575176282897
15,CE,RN,433.35490417720894
16,PR,RS,545.3790509575275
17,PR,SC,250.19767759522486
18,AM,AP,1054.5162645495407
19,AM,RR,658.6527851164543
20,PE,PB,1677.4562810974708
21,PE,PI,935.2716119877579
22,RS,SP,851.0853271789185
23,RS,SC,375.98516600367975
24,GO,MT,741.3991419619764
25,GO,TO,722.1090084712926
26,MS,PR,776.2966836888611
27,RN,PB,1552.6822395868853
28,PI,MA,328.85606872049095
29,MT,MS,561.4604225100783
30,MT,RO,1136.8375240706075
31,SC,SP,487.59792718115193
32,RO,AC,449.8214529144166
33,ES,BA,836.1834932068836
34,RR,CE,2567.864867172877
